run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,diagnosis
0,0.7528778208671537,0.9364852909874738,0.20691035593162066,0.35939423220836564,0.8301580299237942,0.3799749539458964,0.8524198021484385,0.796360123894127,0.6905574220197211,0.5816116993208112,0.9216309688291144,0.23833313346507823,0.12058378850522988,0.9307311290780494,0.6603221779756479,0.8685860992684298,0.6251342488783754,0.06596544456858844,0.29155335101708646,0.1820066245153119,0.7253146250161276,0.9654161653526561,0.8251446946506952,0.6517430463247801,0.7720314319933765,0.18721394787908763,0.7711075166226203,0.5563631104932052,0.8954033176391069,0.8284402329455839,0.7938393143180218,0.4753325033365058,0.2606817029328138,0.06300915015243758,0.6103344283346739,0.471612022036178,0.6291288096326191,0.2961270900487952,0.03329527586350245,0.23747272283712462,0.8527656200097001,0.6349147398083487,0.5102048951168695,0.2978050100482761,0.2100085230397012,0.01990207091097529,0.428581001211624,0.19303398827405494,0.7721865524373102,0.3556373435106285,TD
1,0.12129064966338166,0.5900787763336505,0.6566577388036765,0.4752548909873897,0.5149536904987408,0.5768261069644637,0.8298362973227716,0.8316099226227175,0.5362004667623933,0.7871940449631454,0.9793635692395353,0.29610793314778405,0.24797109097685022,0.7635061012261256,0.9627558440188296,0.6270421143157224,0.6649616204688218,0.21823999051370413,0.6612631266793598,0.9030965480409604,0.7731978083298994,0.44886399639355423,0.14262507364318977,0.24077910480726994,0.17916983492709992,0.2231261970532359,0.23930633593927297,0.5096758270506572,0.27327045674056594,0.665521284874047,0.2748437281008034,0.9301837508210036,0.23384524798226636,0.020687549219269852,0.21737791129774076,0.5788985791281221,0.04431091006494614,0.4480635819833366,0.8577434039494667,0.4118320350714175,0.9177449852178395,0.5115062245822986,0.5498506082948361,0.5014262826805814,0.32624105814933524,0.7496537728977658,0.6175259498106518,0.39773212166327,0.38522232996573935,0.16958867862068694,ASD
2,0.6871092347864276,0.550577539130378,0.4487400114637027,0.11149484704053103,0.717112958696269,0.8435818529233391,0.9873641601828821,0.9863880430187714,0.13065932097023325,0.7598336733376209,0.6944417229356334,0.8864566387590447,0.3856568035493325,0.9502292162453189,0.19522411843979004,0.10803911879260408,0.709529673182133,0.3026654635247682,0.9220955299281478,0.45104619179861016,0.6992537475213318,0.9240417102349909,0.6730202136877574,0.22907827481343535,0.36664628356484785,0.08869016610413372,0.46348627521436003,0.7392266348423538,0.16416506733677938,0.5280752399279143,0.05641287715643095,0.5172477217047817,0.6395043577633247,0.9960879568480195,0.5814866491167745,0.7127288853548595,0.3886974713273905,0.3414633227221522,0.5362174399932077,0.6927445710386729,0.7468094811364876,0.37612467782513326,0.8280190737713224,0.4313957139177934,0.003176081949750831,0.8562497948782246,0.5129274123339223,0.21801410468693339,0.721415517088904,0.6318246688150121,ASD
3,0.06462047950640704,0.44631457971017996,0.17359462234154677,0.3754459184156139,0.6354799817815675,0.9555219883528079,0.9241445416166079,0.283076820562542,0.23572987440764792,0.13758845848928825,0.7707110262209763,0.32613642703003487,0.6242478758406459,0.9914272136928406,0.960335071632021,0.4325917189085495,0.7101809116986824,0.6831117327632305,0.5454002938443084,0.9670636277810688,0.5964677299469596,0.08102290311825477,0.27827889630334823,0.3151825340518267,0.7688443046932267,0.2672378824234155,0.4649681261584221,0.5563841659151658,0.20646429118002563,0.14814680796478297,0.747919526788382,0.6650874418988192,0.3674686122821179,0.24387969450259395,0.20545426567762937,0.028798390545062058,0.07300963985848774,0.2558781434432711,0.7323317523702916,0.17991989181550327,0.30701061749786707,0.27581478120019365,0.82501920217266,0.9725600897839471,0.26887057991797947,0.376722053893388,0.8418963152479089,0.3927304749920637,0.9929547431501369,0.27971260019050237,TD
4,0.8105635641760935,0.8246506188637097,0.6601741328689399,0.6233592890556139,0.3360635501389688,0.3491490560800633,0.06089852224423464,0.5436336643078835,0.5346917824664272,0.9318722530641222,0.5617133555819651,0.38825585791126094,0.22707524539888269,0.32194317002020656,0.13280904465338494,0.5881025512762785,0.5748096354258418,0.8626809623572006,0.7412693369808978,0.24054257516875888,0.3273455362032618,0.41124739902157004,0.6922961225657187,0.8350896903244243,0.24793626321641327,0.27941991367112495,0.8171810302088282,0.7603665922459272,0.12148449081323132,0.8867474836874925,0.05517232820694973,0.4656890050253282,0.4088585559290929,0.1746335112136682,0.5312197321131129,0.4680284289718507,0.11274483275018121,0.172777367831616,0.5097570511502312,0.39152486439218803,0.6266551650301794,0.08371404135458693,0.1955361666658818,0.8387332091738097,0.6231926404492812,0.045910041162201876,0.3142438122351018,0.9471685257972623,0.38749451006874724,0.7865644870998226,TD
5,0.35590837856759894,0.2803348705230553,0.7320607021411979,0.5463540048325302,0.015116486032878629,0.5144079714098728,0.3448383040872036,0.478805011464839,0.6166914724020478,0.2897969185958871,0.3394486255656858,0.18564922859768518,0.25914752493356175,0.7172975346962837,0.02433236402945349,0.9180616250581971,0.06020674941914572,0.39616320788575066,0.89223473624058,0.6192048593790224,0.9008085328473675,0.5434089895096726,0.48377887951145515,0.47424097981718993,0.716210303485703,0.07521736978194804,0.11094871076420176,0.05522060135286899,0.08958347203986361,0.8847280693492544,0.6644922133198354,0.46106195812063167,0.5677995210507802,0.35129177343260776,0.9597677102463817,0.5444404221714589,0.09964982437919545,0.1744022351213067,0.367691160280337,0.5568826848449634,0.056461961069405375,0.15235184349496433,0.6646594480679934,0.7715396177669775,0.9883471354198342,0.06141178454796048,0.20834771244948258,0.01570238898292242,0.2766527452451627,0.3259479209118322,TD
6,0.3638840309112671,0.8651739412189993,0.7718194069658694,0.22324284220626123,0.5954570565433632,0.18633202568546892,0.584599477378346,0.5135346216438806,0.9956449295376963,0.9353189508811087,0.8477257328551191,0.4202387836020779,0.7275105856876971,0.675291111419034,0.23997714375032386,0.8075273535143279,0.008242610019470575,0.9379427596311481,0.20923894655528175,0.10764631224231402,0.4659322893412913,0.24646308248757143,0.821978298705796,0.6792895772702663,0.7736119146705768,0.519216062950582,0.9324472216974746,0.4775755355536211,0.9723519034198093,0.9893968970353543,0.6727453506061886,0.8247783676603162,0.04818121625949656,0.3782299482407314,0.19623658706261848,0.9243222510385581,0.09097351814423282,0.13658138432003697,0.04845374383499612,0.5943703563527484,0.5473860880290047,0.17845940378392022,0.9085178298988075,0.8736481716251149,0.04132488631422959,0.7550463156221413,0.5725862098454155,0.6955659012002818,0.1517157924959659,0.46882561217098906,ASD
7,0.20705114802736968,0.19835597432683016,0.9970132341613224,0.23168679330145303,0.5857932326317061,0.9767485747527949,0.1491352385927408,0.7743389388789162,0.6968047599599488,0.7267141049653694,0.04359056115343796,0.14807257234744453,0.29235526392900124,0.9576006946464877,0.9027482856800151,0.495061037715092,0.8999334711911146,0.6137160277656666,0.2648623633101327,0.6110827033114895,0.959035223667494,0.4386270334454013,0.5950569519365672,0.26743872431308957,0.9511294040617757,0.36361799667604655,0.8455339289239061,0.5515922892399667,0.07374223532642599,0.15013524892552066,0.5754195970509802,0.09127807325441561,0.8452257771425857,0.8677904264333864,0.5925758756030446,0.8751675391321654,0.8020599102982395,0.4493668899910268,0.3870109694464007,0.5275859340517288,0.9491069380399382,0.5495779606219763,0.7161961754726452,0.32955065158706076,0.236771121101239,0.3360602533988657,0.3066419233304811,0.8682093474197806,0.7427398419230637,0.05511537601805927,ASD
8,0.5204116006110477,0.8052740171531579,0.5987002630645679,0.5225841189702284,0.8199297989837713,0.38728565673548176,0.35603087125180055,0.9256608976398404,0.5605832443889511,0.7299891741523309,0.5976018118598438,0.47645314614264367,0.5654239344792975,0.4127372653117558,0.4567769493068997,0.6680239502944111,0.2617391421638252,0.2897267397845583,0.658145334636402,0.6415132059773125,0.26993909332786126,0.604123771092345,0.4649169139131737,0.8317788278179052,0.19360476896270384,0.4920396683596475,0.46807829835041714,0.8198114956174267,0.26683181056403205,0.04752133398261371,0.5039855775715024,0.6172801802120281,0.09990596827339737,0.3847455062445191,0.7080080333952903,0.26479121349414037,0.4667553848612589,0.9451003270549647,0.6978545052222715,0.556057714587388,0.8953403029671742,0.822272678623295,0.8865817936484907,0.10674118422004586,0.5876233241024396,0.6465591306868732,0.30435720824218726,0.8768670633083273,0.03859765227414125,0.10062628814710783,TD
9,0.6531224825712393,0.492264639477758,0.43219195484315953,0.2037704563873194,0.6844122637965259,0.834390153354715,0.7752101626230212,0.8656247687173397,0.24754329496734806,0.14781776209214115,0.4536528863560394,0.11711698026516715,0.5054375218891604,0.5856025640125059,0.5959761606109854,0.6523605838753206,0.7476402885659845,0.6458445049496294,0.1312873078043023,0.30005431123230286,0.11490790948612972,0.09210963278778384,0.04530521151670719,0.2658864091291354,0.8084610742851219,0.3139626567238528,0.8580901426556466,0.8791242004863583,0.6543968236563839,0.8563849656285191,0.2156155399581957,0.38187064162773143,0.8807106563874466,0.6297175636691057,0.9769455109808044,0.389547218406591,0.7749815868541909,0.0506595319586427,0.9958858286024568,0.6792276116642231,0.33216267890059015,0.8198794954950618,0.3286226618082342,0.36474694465592705,0.5027409833782299,0.577940684422838,0.1689117349849426,0.9489467514874045,0.9515601849794453,0.8634815614554191,TD
